event_index,event_id,time_index,time_unix_hours,time_utc,time_hkt
5,non_typhoon_monsoon_gale_20220927_20220929,0,462280,2022-09-26T16:00:00Z,2022-09-27T00:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,1,462281,2022-09-26T17:00:00Z,2022-09-27T01:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,2,462282,2022-09-26T18:00:00Z,2022-09-27T02:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,3,462283,2022-09-26T19:00:00Z,2022-09-27T03:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,4,462284,2022-09-26T20:00:00Z,2022-09-27T04:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,5,462285,2022-09-26T21:00:00Z,2022-09-27T05:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,6,462286,2022-09-26T22:00:00Z,2022-09-27T06:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,7,462287,2022-09-26T23:00:00Z,2022-09-27T07:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,8,462288,2022-09-27T00:00:00Z,2022-09-27T08:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,9,462289,2022-09-27T01:00:00Z,2022-09-27T09:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,10,462290,2022-09-27T02:00:00Z,2022-09-27T10:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,11,462291,2022-09-27T03:00:00Z,2022-09-27T11:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,12,462292,2022-09-27T04:00:00Z,2022-09-27T12:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,13,462293,2022-09-27T05:00:00Z,2022-09-27T13:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,14,462294,2022-09-27T06:00:00Z,2022-09-27T14:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,15,462295,2022-09-27T07:00:00Z,2022-09-27T15:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,16,462296,2022-09-27T08:00:00Z,2022-09-27T16:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,17,462297,2022-09-27T09:00:00Z,2022-09-27T17:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,18,462298,2022-09-27T10:00:00Z,2022-09-27T18:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,19,462299,2022-09-27T11:00:00Z,2022-09-27T19:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,20,462300,2022-09-27T12:00:00Z,2022-09-27T20:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,21,462301,2022-09-27T13:00:00Z,2022-09-27T21:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,22,462302,2022-09-27T14:00:00Z,2022-09-27T22:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,23,462303,2022-09-27T15:00:00Z,2022-09-27T23:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,24,462304,2022-09-27T16:00:00Z,2022-09-28T00:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,25,462305,2022-09-27T17:00:00Z,2022-09-28T01:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,26,462306,2022-09-27T18:00:00Z,2022-09-28T02:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,27,462307,2022-09-27T19:00:00Z,2022-09-28T03:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,28,462308,2022-09-27T20:00:00Z,2022-09-28T04:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,29,462309,2022-09-27T21:00:00Z,2022-09-28T05:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,30,462310,2022-09-27T22:00:00Z,2022-09-28T06:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,31,462311,2022-09-27T23:00:00Z,2022-09-28T07:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,32,462312,2022-09-28T00:00:00Z,2022-09-28T08:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,33,462313,2022-09-28T01:00:00Z,2022-09-28T09:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,34,462314,2022-09-28T02:00:00Z,2022-09-28T10:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,35,462315,2022-09-28T03:00:00Z,2022-09-28T11:00:00+08:00
5,non_typhoon_monsoon_gale_20220927_20220929,36,462316,2022-09-28T04:00:00Z,2022-09-28T12:00:00+08:00
